word,frequency
of,14
the,10
happiness,9
a,9
is,7
in,7
and,4
to,4
may,4
life,4
but,4
for,4
as,4
be,3
it,3
eudaimonia,3
aristotle,3
human,3
that,3
positive,2
emotion,2
from,2
or,2
more,2
with,2
flourishing,2
can,2
an,2
those,2
are,2
good,2
pleasant,1
ranging,1
contentment,1
intense,1
joy,1
moments,1
triggered,1
by,1
experiences,1
thoughts,1
sometimes,1
arise,1
no,1
obvious,1
cause,1
level,1
longer,1
periods,1
time,1
strongly,1
correlated,1
levels,1
satisfaction,1
subjective,1
well,1
being,1
common,1
usage,1
word,1
happy,1
appraisal,1
measures,1
themselves,1
shorthand,1
source,1
example,1
find,1
finding,1
meaning,1
any,1
precise,1
definition,1
has,1
been,1
perennial,1
debate,1
philosophy,1
described,1
greek:,1
\xce\xb5\xe1\xbd\x90\xce\xb4\xce\xb1\xce\xb9\xce\xbc\xce\xbf\xce\xbd\xce\xaf\xce\xb1,1
goal,1
thought,1
action,1
often,1
translated,1
mean,1
some,1
scholars,1
contend,1
accurate,1
translation[60],1
aristotle\s,1
use,1
term,1
nicomachiean,1
ethics,1
extends,1
beyond,1
general,1
sense,1
happinessthe,1
key,1
question,1
seeks,1
answer,1
what,1
ultimate,1
purpose,1
existence?,1
lot,1
people,1
seeking,1
pleasure,1
health,1
reputation,1
true,1
have,1
value,1
none,1
them,1
occupy,1
place,1
greatest,1
which,1
humanity,1
aims,1
seem,1
like,1
all,1
goods,1
means,1
obtain,1
said,1
always,1
end,1
itself,1
